"presidente","desigualdad","elitesgente","elitespoderosos","interespol","sindicato","ideologia","etnicidad","izqderpresidente","ideologiapresidente"
"CASTILLO",2,2,1,2,0,6,"MESTIZO",1,"IZQUIERDA"
NA,1,1,2,3,0,5,"BLANCO",NA,NA
NA,1,2,1,3,0,5,"AYMARA",NA,NA
"LESCANO",1,1,2,1,0,4,"MESTIZO",5,"CENTRO"
"FUJIMORI",3,4,2,2,0,10,"MESTIZO",8,"DERECHA"
NA,1,1,1,3,0,10,"MESTIZO",NA,NA
NA,2,2,2,4,0,5,NA,NA,NA
NA,1,5,5,4,0,5,"MESTIZO",NA,NA
"FUJIMORI",3,2,1,2,0,4,"MESTIZO",8,"DERECHA"
NA,2,2,2,4,0,NA,NA,NA,NA
"CASTILLO",2,5,1,1,0,5,"MESTIZO",1,"IZQUIERDA"
"FUJIMORI",1,4,2,2,0,4,"BLANCO",8,"DERECHA"
NA,1,5,4,4,0,9,"QUECHUA",NA,NA
NA,1,1,1,2,0,5,"QUECHUA",NA,NA
NA,1,1,1,1,0,5,"MESTIZO",NA,NA
NA,1,5,1,3,0,5,"MESTIZO",NA,NA
"URRESTI",2,2,2,4,0,7,"AYMARA",6,"CENTRO"
"ACUNA",1,5,5,4,0,10,"MESTIZO",6,"CENTRO"
"DESOTO",2,1,1,4,0,5,"QUECHUA",9,"DERECHA"
"CASTILLO",1,5,3,3,0,1,"QUECHUA",1,"IZQUIERDA"
NA,1,1,1,4,0,10,"MESTIZO",NA,NA
NA,3,5,5,4,0,6,"MESTIZO",NA,NA
"URRESTI",1,2,2,3,0,8,"MESTIZO",6,"CENTRO"
"DESOTO",3,1,2,2,0,10,"MESTIZO",9,"DERECHA"
"CASTILLO",2,1,1,3,0,5,"MESTIZO",1,"IZQUIERDA"
"CASTILLO",1,2,2,1,1,2,"MESTIZO",1,"IZQUIERDA"
NA,4,2,2,4,0,2,"QUECHUA",NA,NA
NA,4,2,2,4,0,10,"QUECHUA",NA,NA
"VERONIKA",1,2,2,1,0,6,"QUECHUA",2,"IZQUIERDA"
NA,1,2,2,3,0,1,"QUECHUA",NA,NA
NA,1,2,2,1,0,8,"QUECHUA",NA,NA
"FUJIMORI",1,1,1,3,0,5,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,1,2,2,0,7,"NEGRO",8,"DERECHA"
"DESOTO",2,1,3,2,0,6,"MESTIZO",9,"DERECHA"
"CASTILLO",2,5,5,3,0,6,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",2,5,2,2,0,10,"BLANCO",8,"DERECHA"
"FUJIMORI",2,2,3,3,0,8,"QUECHUA",8,"DERECHA"
"LOPEZALIAGA",1,2,2,1,0,6,"MESTIZO",9,"DERECHA"
"LESCANO",1,1,1,3,0,1,"QUECHUA",5,"CENTRO"
NA,1,1,1,4,0,7,"QUECHUA",NA,NA
NA,1,2,1,3,0,NA,"MESTIZO",NA,NA
"CASTILLO",2,3,3,2,0,3,"QUECHUA",1,"IZQUIERDA"
"DESOTO",4,4,4,2,0,7,"MESTIZO",9,"DERECHA"
"CASTILLO",4,5,5,3,1,10,"BLANCO",1,"IZQUIERDA"
"CASTILLO",1,2,2,3,0,1,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",1,4,5,4,0,8,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,2,2,4,0,10,"MESTIZO",8,"DERECHA"
"CASTILLO",2,2,2,3,1,1,"QUECHUA",1,"IZQUIERDA"
NA,1,1,2,3,0,9,"QUECHUA",NA,NA
"CASTILLO",3,4,3,1,0,10,"QUECHUA",1,"IZQUIERDA"
"VERONIKA",2,2,1,2,0,2,"MESTIZO",2,"IZQUIERDA"
"LOPEZALIAGA",2,2,1,1,0,2,"MESTIZO",9,"DERECHA"
NA,2,1,2,3,0,5,"QUECHUA",NA,NA
"CASTILLO",2,2,1,2,0,8,"MESTIZO",1,"IZQUIERDA"
"CASTILLO",1,2,2,3,0,10,"MESTIZO",1,"IZQUIERDA"
"CASTILLO",1,1,2,2,0,1,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",1,1,2,3,0,5,"MESTIZO",8,"DERECHA"
NA,2,3,2,3,0,7,"MESTIZO",NA,NA
NA,2,3,2,2,1,5,"OTRA",NA,NA
"URRESTI",2,1,1,3,0,8,"MESTIZO",6,"CENTRO"
"CASTILLO",2,3,2,2,0,3,"QUECHUA",1,"IZQUIERDA"
"DESOTO",5,4,4,3,0,5,"QUECHUA",9,"DERECHA"
"LOPEZALIAGA",3,4,3,2,0,9,"QUECHUA",9,"DERECHA"
"DESOTO",2,2,2,2,0,8,"MESTIZO",9,"DERECHA"
"LOPEZALIAGA",1,5,1,3,1,7,"MESTIZO",9,"DERECHA"
NA,3,2,2,3,0,10,NA,NA,NA
"LOPEZALIAGA",1,1,1,4,0,5,"MESTIZO",9,"DERECHA"
"CASTILLO",1,1,1,3,0,1,"MESTIZO",1,"IZQUIERDA"
NA,2,2,1,4,0,5,"MESTIZO",NA,NA
"LESCANO",1,2,2,2,0,5,"MESTIZO",5,"CENTRO"
"FORSYTH",2,2,3,2,0,5,"MESTIZO",6,"CENTRO"
"CASTILLO",2,2,2,1,0,9,"MESTIZO",1,"IZQUIERDA"
NA,2,4,2,4,0,1,"QUECHUA",NA,NA
"BEINGOLEA",2,2,1,3,0,7,"MESTIZO",8,"DERECHA"
NA,1,2,2,4,0,5,"NEGRO",NA,NA
"CASTILLO",1,1,1,4,0,5,"MESTIZO",1,"IZQUIERDA"
NA,1,4,2,3,0,10,"MESTIZO",NA,NA
NA,1,2,2,3,0,10,"MESTIZO",NA,NA
"FUJIMORI",3,1,1,2,0,9,"MESTIZO",8,"DERECHA"
"VERONIKA",1,2,2,1,0,1,"QUECHUA",2,"IZQUIERDA"
"LESCANO",2,2,4,4,0,6,"MESTIZO",5,"CENTRO"
NA,1,4,4,4,0,5,"QUECHUA",NA,NA
"CASTILLO",2,2,2,3,0,10,"QUECHUA",1,"IZQUIERDA"
NA,2,2,2,2,0,4,"QUECHUA",NA,NA
"ACUNA",3,2,2,3,0,8,"MESTIZO",6,"CENTRO"
"LOPEZALIAGA",1,4,2,3,0,NA,"MESTIZO",9,"DERECHA"
"FUJIMORI",2,2,2,3,0,6,"BLANCO",8,"DERECHA"
"FUJIMORI",1,3,3,2,0,5,"MESTIZO",8,"DERECHA"
"FORSYTH",2,2,2,3,0,5,"QUECHUA",6,"CENTRO"
"DESOTO",1,1,1,3,0,7,"MESTIZO",9,"DERECHA"
"LESCANO",1,1,4,1,0,10,"BLANCO",5,"CENTRO"
"BEINGOLEA",4,2,3,3,0,7,"MESTIZO",8,"DERECHA"
"LESCANO",4,3,4,1,0,10,"MESTIZO",5,"CENTRO"
NA,2,1,1,1,0,8,"QUECHUA",NA,NA
"CASTILLO",2,2,2,2,0,5,"QUECHUA",1,"IZQUIERDA"
"BEINGOLEA",4,2,2,2,0,5,"MESTIZO",8,"DERECHA"
"DESOTO",2,1,2,2,0,10,"MESTIZO",9,"DERECHA"
"BEINGOLEA",2,2,3,2,0,5,"MESTIZO",8,"DERECHA"
NA,5,1,4,2,0,8,"BLANCO",NA,NA
"FUJIMORI",4,2,4,2,0,10,"MESTIZO",8,"DERECHA"
"DESOTO",2,1,3,1,0,6,"MESTIZO",9,"DERECHA"
"FUJIMORI",3,2,2,3,0,8,"MESTIZO",8,"DERECHA"
"FUJIMORI",5,1,1,2,0,10,"MESTIZO",8,"DERECHA"
NA,1,2,2,1,0,3,"QUECHUA",NA,NA
"FUJIMORI",3,2,3,4,0,5,"BLANCO",8,"DERECHA"
NA,1,4,4,4,0,10,"MESTIZO",NA,NA
"FUJIMORI",4,2,2,1,0,5,"ZAMBOMULATO",8,"DERECHA"
NA,2,1,1,2,0,10,"MESTIZO",NA,NA
NA,1,3,3,3,0,10,"NEGRO",NA,NA
"CASTILLO",2,2,2,1,0,8,"QUECHUA",1,"IZQUIERDA"
"LOPEZALIAGA",1,2,2,3,0,5,"MESTIZO",9,"DERECHA"
"DESOTO",1,2,5,2,0,10,"QUECHUA",9,"DERECHA"
NA,3,2,2,3,0,5,"QUECHUA",NA,NA
NA,3,1,1,4,0,5,"AYMARA",NA,NA
"LESCANO",1,5,1,3,0,2,"MESTIZO",5,"CENTRO"
"CASTILLO",2,1,2,3,0,5,"QUECHUA",1,"IZQUIERDA"
"DESOTO",2,2,3,3,0,6,"MESTIZO",9,"DERECHA"
"CASTILLO",1,1,2,3,0,3,"QUECHUA",1,"IZQUIERDA"
NA,1,1,1,2,0,8,"MESTIZO",NA,NA
NA,2,2,2,3,0,8,"MESTIZO",NA,NA
"FUJIMORI",1,1,3,3,0,6,"MESTIZO",8,"DERECHA"
"DESOTO",1,1,2,2,0,7,"MESTIZO",9,"DERECHA"
"BEINGOLEA",2,2,3,3,0,6,"MESTIZO",8,"DERECHA"
"DESOTO",1,1,1,2,0,9,"MESTIZO",9,"DERECHA"
NA,2,2,2,4,0,5,"ZAMBOMULATO",NA,NA
NA,3,3,4,2,0,5,"MESTIZO",NA,NA
"CASTILLO",1,4,2,3,0,4,"MESTIZO",1,"IZQUIERDA"
NA,1,4,2,3,0,10,"MESTIZO",NA,NA
"DESOTO",2,2,2,2,0,7,"MESTIZO",9,"DERECHA"
"LOPEZALIAGA",1,2,2,4,0,5,"MESTIZO",9,"DERECHA"
NA,2,1,1,2,0,3,NA,NA,NA
NA,2,3,5,2,0,7,"MESTIZO",NA,NA
"DESOTO",1,1,5,3,0,5,"MESTIZO",9,"DERECHA"
"FUJIMORI",5,5,2,2,0,6,"ZAMBOMULATO",8,"DERECHA"
NA,1,5,5,4,0,5,"MESTIZO",NA,NA
NA,4,5,5,4,0,10,"QUECHUA",NA,NA
"CASTILLO",2,2,2,1,0,5,"MESTIZO",1,"IZQUIERDA"
NA,1,2,2,4,0,6,"MESTIZO",NA,NA
"CASTILLO",1,4,2,3,0,1,"QUECHUA",1,"IZQUIERDA"
NA,3,2,2,3,0,5,"MESTIZO",NA,NA
NA,3,1,1,2,0,5,"QUECHUA",NA,NA
NA,2,2,2,2,0,5,"QUECHUA",NA,NA
"CASTILLO",1,4,5,3,0,5,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",3,1,1,4,0,10,"MESTIZO",8,"DERECHA"
"CASTILLO",1,1,1,2,0,NA,"QUECHUA",1,"IZQUIERDA"
"LOPEZALIAGA",3,1,1,4,0,5,"MESTIZO",9,"DERECHA"
NA,3,2,2,3,0,5,"BLANCO",NA,NA
"CASTILLO",2,2,2,2,0,6,"QUECHUA",1,"IZQUIERDA"
"GUZMAN",2,1,2,2,0,10,"MESTIZO",5,"CENTRO"
"LESCANO",1,2,2,3,0,5,"MESTIZO",5,"CENTRO"
"LOPEZALIAGA",2,2,2,1,0,6,"ZAMBOMULATO",9,"DERECHA"
NA,1,4,2,4,0,NA,"MESTIZO",NA,NA
"FUJIMORI",2,2,2,2,0,5,"QUECHUA",8,"DERECHA"
"FUJIMORI",5,1,1,3,0,5,"QUECHUA",8,"DERECHA"
"FUJIMORI",1,2,4,3,0,5,"MESTIZO",8,"DERECHA"
"LOPEZALIAGA",1,2,4,3,0,9,"MESTIZO",9,"DERECHA"
"FUJIMORI",5,5,2,4,0,10,"BLANCO",8,"DERECHA"
NA,2,4,2,2,0,8,"MESTIZO",NA,NA
NA,1,4,1,4,0,10,"BLANCO",NA,NA
"CASTILLO",2,4,2,3,0,6,"MESTIZO",1,"IZQUIERDA"
"FUJIMORI",2,3,1,3,0,5,"MESTIZO",8,"DERECHA"
"BEINGOLEA",1,1,1,4,0,6,"MESTIZO",8,"DERECHA"
"CASTILLO",1,2,2,2,0,6,"MESTIZO",1,"IZQUIERDA"
"ACUNA",1,5,4,4,0,10,"QUECHUA",6,"CENTRO"
"LESCANO",2,2,2,2,0,5,"QUECHUA",5,"CENTRO"
"CASTILLO",5,2,2,1,0,10,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",1,1,1,4,0,NA,NA,1,"IZQUIERDA"
"CASTILLO",2,4,4,4,0,10,"QUECHUA",1,"IZQUIERDA"
"DESOTO",1,1,5,1,0,5,"MESTIZO",9,"DERECHA"
NA,3,1,1,2,0,5,"MESTIZO",NA,NA
NA,2,1,2,1,0,7,"MESTIZO",NA,NA
"CASTILLO",NA,1,1,4,0,10,NA,1,"IZQUIERDA"
"CASTILLO",1,4,2,1,1,1,"MESTIZO",1,"IZQUIERDA"
"DESOTO",2,1,1,2,0,7,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,5,5,2,1,1,"MESTIZO",8,"DERECHA"
NA,2,2,2,2,0,7,"MESTIZO",NA,NA
"CASTILLO",1,2,1,2,0,NA,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",2,1,2,4,0,8,"MESTIZO",8,"DERECHA"
NA,NA,1,2,3,0,NA,"MESTIZO",NA,NA
"LOPEZALIAGA",1,4,1,4,1,3,"MESTIZO",9,"DERECHA"
NA,1,5,5,3,0,NA,"MESTIZO",NA,NA
NA,3,4,2,4,0,4,"MESTIZO",NA,NA
NA,4,2,2,4,0,5,"MESTIZO",NA,NA
"FUJIMORI",1,2,2,3,0,2,"MESTIZO",8,"DERECHA"
NA,5,2,2,4,0,5,"MESTIZO",NA,NA
"FUJIMORI",1,1,4,1,0,5,"QUECHUA",8,"DERECHA"
"CASTILLO",1,2,2,4,0,5,"MESTIZO",1,"IZQUIERDA"
"URRESTI",2,2,2,2,0,5,"MESTIZO",6,"CENTRO"
"DESOTO",1,1,1,3,0,6,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,2,2,3,0,5,"MESTIZO",8,"DERECHA"
NA,2,2,1,4,0,10,"QUECHUA",NA,NA
"VERONIKA",2,2,2,2,0,5,"QUECHUA",2,"IZQUIERDA"
NA,2,2,2,3,0,10,"QUECHUA",NA,NA
"CASTILLO",5,2,2,4,0,10,"MESTIZO",1,"IZQUIERDA"
"LOPEZALIAGA",2,1,2,2,0,8,"MESTIZO",9,"DERECHA"
NA,4,2,2,3,0,10,"AMAZONICO",NA,NA
"ACUNA",3,3,3,2,0,5,"MESTIZO",6,"CENTRO"
"DESOTO",3,2,2,3,0,5,"MESTIZO",9,"DERECHA"
"FUJIMORI",2,2,2,4,0,6,"MESTIZO",8,"DERECHA"
"ACUNA",1,3,3,4,0,10,"MESTIZO",6,"CENTRO"
NA,2,2,1,4,0,3,"MESTIZO",NA,NA
"FUJIMORI",1,2,1,4,0,10,"BLANCO",8,"DERECHA"
NA,1,2,4,2,0,5,"MESTIZO",NA,NA
"LESCANO",2,3,3,4,0,5,"MESTIZO",5,"CENTRO"
"FUJIMORI",1,4,4,3,0,7,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,1,2,3,0,5,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,2,2,2,0,5,"MESTIZO",8,"DERECHA"
"CASTILLO",2,2,2,2,0,5,"MESTIZO",1,"IZQUIERDA"
"FUJIMORI",2,2,2,3,0,6,"MESTIZO",8,"DERECHA"
"CASTILLO",2,2,2,4,0,10,"QUECHUA",1,"IZQUIERDA"
NA,2,2,2,4,0,5,"QUECHUA",NA,NA
"DESOTO",4,1,2,3,0,NA,"QUECHUA",9,"DERECHA"
NA,1,4,2,4,0,10,"QUECHUA",NA,NA
"CASTILLO",1,1,2,2,0,5,"MESTIZO",1,"IZQUIERDA"
"CASTILLO",5,2,4,1,0,1,"QUECHUA",1,"IZQUIERDA"
"DESOTO",1,2,2,1,0,10,"MESTIZO",9,"DERECHA"
NA,3,3,3,4,0,10,NA,NA,NA
"CASTILLO",1,1,2,1,0,10,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",4,2,2,4,0,5,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",1,2,2,4,0,1,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",2,4,2,2,0,10,"QUECHUA",1,"IZQUIERDA"
NA,4,1,1,3,0,5,"MESTIZO",NA,NA
NA,1,NA,NA,1,0,1,"QUECHUA",NA,NA
"CASTILLO",4,1,1,3,0,10,"QUECHUA",1,"IZQUIERDA"
NA,1,2,2,3,0,NA,"QUECHUA",NA,NA
NA,2,2,NA,1,0,5,"QUECHUA",NA,NA
NA,2,2,2,4,0,5,"QUECHUA",NA,NA
"DESOTO",5,2,5,3,0,7,"QUECHUA",9,"DERECHA"
NA,2,2,2,4,0,1,"MESTIZO",NA,NA
"LOPEZALIAGA",5,2,2,2,0,3,"QUECHUA",9,"DERECHA"
"DESOTO",2,2,2,2,0,10,"MESTIZO",9,"DERECHA"
"FUJIMORI",2,2,2,3,0,10,"QUECHUA",8,"DERECHA"
"FUJIMORI",1,3,1,2,0,5,NA,8,"DERECHA"
NA,1,1,1,4,0,1,"QUECHUA",NA,NA
"CASTILLO",2,2,2,3,0,5,"MESTIZO",1,"IZQUIERDA"
"FORSYTH",1,1,3,3,0,3,"MESTIZO",6,"CENTRO"
"FUJIMORI",1,2,1,4,0,10,"QUECHUA",8,"DERECHA"
"FUJIMORI",2,2,2,3,0,6,"BLANCO",8,"DERECHA"
NA,1,1,1,4,0,NA,"MESTIZO",NA,NA
"CASTILLO",NA,2,2,1,0,1,"MESTIZO",1,"IZQUIERDA"
"CASTILLO",1,4,2,3,0,1,"MESTIZO",1,"IZQUIERDA"
NA,1,2,2,2,0,1,"MESTIZO",NA,NA
"CASTILLO",1,2,2,4,0,5,"MESTIZO",1,"IZQUIERDA"
NA,1,4,4,3,0,1,"AMAZONICO",NA,NA
"LESCANO",1,2,2,3,0,10,"MESTIZO",5,"CENTRO"
"CASTILLO",1,2,2,3,0,5,"MESTIZO",1,"IZQUIERDA"
"FUJIMORI",1,2,1,3,0,6,"MESTIZO",8,"DERECHA"
NA,2,2,2,4,0,5,"BLANCO",NA,NA
"DESOTO",1,5,1,4,0,NA,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,2,1,4,0,5,"BLANCO",8,"DERECHA"
"CASTILLO",2,2,2,3,0,10,"MESTIZO",1,"IZQUIERDA"
NA,2,5,2,2,1,8,"QUECHUA",NA,NA
"FUJIMORI",2,2,3,2,0,5,"QUECHUA",8,"DERECHA"
"FUJIMORI",1,1,2,3,0,9,"QUECHUA",8,"DERECHA"
NA,1,1,1,1,0,5,"QUECHUA",NA,NA
"URRESTI",2,2,2,2,0,5,NA,6,"CENTRO"
NA,2,NA,2,4,0,8,NA,NA,NA
NA,1,2,1,4,0,10,"MESTIZO",NA,NA
"VERONIKA",1,4,1,3,0,7,"MESTIZO",2,"IZQUIERDA"
NA,1,1,2,1,0,5,"MESTIZO",NA,NA
NA,1,5,2,4,0,10,"OTRA",NA,NA
NA,5,2,2,4,0,5,"MESTIZO",NA,NA
"CASTILLO",2,2,2,4,0,5,"BLANCO",1,"IZQUIERDA"
NA,2,1,2,3,0,6,"NEGRO",NA,NA
NA,1,2,1,3,0,NA,"MESTIZO",NA,NA
"FUJIMORI",2,4,2,4,0,4,"MESTIZO",8,"DERECHA"
NA,2,2,2,3,0,5,"MESTIZO",NA,NA
"FUJIMORI",4,2,2,2,0,8,"MESTIZO",8,"DERECHA"
NA,2,2,2,3,0,5,"MESTIZO",NA,NA
"FUJIMORI",1,2,2,3,0,6,"QUECHUA",8,"DERECHA"
"DESOTO",1,2,2,3,0,9,"MESTIZO",9,"DERECHA"
"CASTILLO",1,2,1,3,0,5,"MESTIZO",1,"IZQUIERDA"
"FUJIMORI",3,2,2,2,0,8,"MESTIZO",8,"DERECHA"
NA,2,2,2,3,0,5,"MESTIZO",NA,NA
"FUJIMORI",2,2,2,3,0,8,"ZAMBOMULATO",8,"DERECHA"
NA,3,1,2,2,0,4,"MESTIZO",NA,NA
"FUJIMORI",5,2,3,4,0,7,"MESTIZO",8,"DERECHA"
"LOPEZALIAGA",1,2,2,2,0,6,"MESTIZO",9,"DERECHA"
"VERONIKA",2,2,1,1,0,1,"QUECHUA",2,"IZQUIERDA"
NA,1,1,1,3,0,6,"MESTIZO",NA,NA
"FUJIMORI",2,1,1,4,0,5,"MESTIZO",8,"DERECHA"
"FORSYTH",1,1,1,4,0,10,"MESTIZO",6,"CENTRO"
NA,1,1,1,4,0,5,"ZAMBOMULATO",NA,NA
"VERONIKA",1,1,2,2,0,3,"NEGRO",2,"IZQUIERDA"
NA,1,4,1,4,0,5,"MESTIZO",NA,NA
"LOPEZALIAGA",2,2,2,2,0,9,"MESTIZO",9,"DERECHA"
"FUJIMORI",2,1,2,2,0,5,"MESTIZO",8,"DERECHA"
"GUZMAN",2,2,2,3,0,5,"MESTIZO",5,"CENTRO"
"FUJIMORI",2,2,4,4,0,9,"MESTIZO",8,"DERECHA"
"FUJIMORI",3,5,2,3,0,7,NA,8,"DERECHA"
"LESCANO",5,1,1,4,0,5,"QUECHUA",5,"CENTRO"
"FUJIMORI",2,2,4,4,0,10,"QUECHUA",8,"DERECHA"
"CASTILLO",4,2,1,4,0,NA,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",5,4,1,4,0,10,"MESTIZO",1,"IZQUIERDA"
"LOPEZALIAGA",1,2,1,3,0,1,"QUECHUA",9,"DERECHA"
"CASTILLO",2,1,1,2,0,5,"MESTIZO",1,"IZQUIERDA"
"URRESTI",1,5,2,3,0,5,"MESTIZO",6,"CENTRO"
"FUJIMORI",2,4,2,3,0,10,"OTRA",8,"DERECHA"
NA,5,4,4,3,0,5,"MESTIZO",NA,NA
"DESOTO",1,2,2,3,0,9,"MESTIZO",9,"DERECHA"
NA,3,3,3,3,1,5,"QUECHUA",NA,NA
NA,1,2,2,3,0,3,"MESTIZO",NA,NA
"FUJIMORI",2,1,1,3,0,9,"BLANCO",8,"DERECHA"
"DESOTO",2,2,3,4,0,10,"MESTIZO",9,"DERECHA"
"CASTILLO",5,4,4,3,0,1,"BLANCO",1,"IZQUIERDA"
"CASTILLO",1,2,2,2,0,5,"MESTIZO",1,"IZQUIERDA"
