"presidente","desigualdad","elitesgente","elitespoderosos","interespol","sindicato","ideologia","etnicidad","izqderpresidente","ideologiapresidente"
"CASTILLO",3,4,4,3,0,9,"QUECHUA",1,"IZQUIERDA"
"LOPEZALIAGA",1,1,2,1,0,8,"MESTIZO",9,"DERECHA"
"HUMALA",2,2,2,3,0,10,"MESTIZO",2,"IZQUIERDA"
"CASTILLO",2,4,1,3,0,6,"MESTIZO",1,"IZQUIERDA"
"LESCANO",1,2,2,1,0,5,"MESTIZO",5,"CENTRO"
"DESOTO",1,2,2,3,0,6,"MESTIZO",9,"DERECHA"
NA,2,2,3,3,0,5,"ZAMBOMULATO",NA,NA
"FORSYTH",2,2,2,3,0,NA,"MESTIZO",6,"CENTRO"
"CASTILLO",1,2,2,3,0,10,"MESTIZO",1,"IZQUIERDA"
"DESOTO",2,4,2,1,0,1,"MESTIZO",9,"DERECHA"
"DESOTO",2,2,2,3,0,6,"MESTIZO",9,"DERECHA"
"LOPEZALIAGA",1,4,2,3,0,7,"MESTIZO",9,"DERECHA"
"FUJIMORI",2,2,2,3,0,8,"QUECHUA",8,"DERECHA"
NA,2,2,2,2,0,9,"MESTIZO",NA,NA
"FORSYTH",1,1,1,3,0,5,"MESTIZO",6,"CENTRO"
"BEINGOLEA",2,2,2,2,0,6,"MESTIZO",8,"DERECHA"
NA,2,1,1,2,0,9,"MESTIZO",NA,NA
"FUJIMORI",3,1,4,2,0,7,"MESTIZO",8,"DERECHA"
"CASTILLO",4,4,2,4,0,5,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",1,2,2,3,0,2,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",2,4,4,4,0,10,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",1,2,2,3,0,NA,"QUECHUA",1,"IZQUIERDA"
"LOPEZALIAGA",NA,2,2,4,0,NA,"QUECHUA",9,"DERECHA"
"CASTILLO",1,4,2,3,0,10,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",3,3,4,4,0,10,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,4,2,4,0,10,"AMAZONICO",8,"DERECHA"
NA,3,2,2,3,0,5,"MESTIZO",NA,NA
"FUJIMORI",3,2,2,2,0,NA,"MESTIZO",8,"DERECHA"
"ACUNA",2,2,4,4,0,5,"MESTIZO",6,"CENTRO"
"FUJIMORI",2,3,3,4,0,8,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,2,2,3,0,9,"MESTIZO",8,"DERECHA"
NA,3,3,3,3,0,6,"QUECHUA",NA,NA
"FUJIMORI",4,4,4,3,0,5,"QUECHUA",8,"DERECHA"
NA,3,2,1,3,0,9,"BLANCO",NA,NA
NA,1,4,2,3,0,5,"MESTIZO",NA,NA
"FUJIMORI",1,2,1,2,0,1,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,2,2,3,0,9,"AMAZONICO",8,"DERECHA"
"FUJIMORI",1,4,4,3,0,10,"QUECHUA",8,"DERECHA"
"FUJIMORI",1,4,2,2,0,5,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,1,2,4,1,8,"AMAZONICO",8,"DERECHA"
"FUJIMORI",4,4,3,3,0,9,"ZAMBOMULATO",8,"DERECHA"
"CASTILLO",2,2,2,4,0,5,"MESTIZO",1,"IZQUIERDA"
NA,2,2,2,3,0,8,"MESTIZO",NA,NA
"DESOTO",1,4,4,4,0,NA,"MESTIZO",9,"DERECHA"
"FUJIMORI",2,4,2,2,0,10,"MESTIZO",8,"DERECHA"
"SALAVERRY",1,4,2,3,0,5,"MESTIZO",6,"CENTRO"
"FORSYTH",3,2,2,3,0,7,"QUECHUA",6,"CENTRO"
"FUJIMORI",1,2,2,3,0,4,"MESTIZO",8,"DERECHA"
NA,1,2,3,3,0,3,"ZAMBOMULATO",NA,NA
"CASTILLO",1,1,2,4,0,10,"MESTIZO",1,"IZQUIERDA"
"CASTILLO",1,1,2,1,0,5,"MESTIZO",1,"IZQUIERDA"
"VERONIKA",2,1,2,3,0,2,"QUECHUA",2,"IZQUIERDA"
"URRESTI",2,3,3,4,0,5,"MESTIZO",6,"CENTRO"
NA,1,1,2,3,0,6,"MESTIZO",NA,NA
"FUJIMORI",1,4,1,3,0,10,"MESTIZO",8,"DERECHA"
"FUJIMORI",3,2,2,4,0,5,"MESTIZO",8,"DERECHA"
NA,1,2,2,2,0,5,"QUECHUA",NA,NA
NA,2,2,2,4,0,5,"MESTIZO",NA,NA
"CASTILLO",5,1,2,2,0,10,"BLANCO",1,"IZQUIERDA"
"FUJIMORI",1,2,2,3,0,8,"MESTIZO",8,"DERECHA"
NA,2,2,2,3,0,10,"MESTIZO",NA,NA
"CASTILLO",3,5,5,4,0,5,"MESTIZO",1,"IZQUIERDA"
"CASTILLO",2,1,2,3,0,5,"MESTIZO",1,"IZQUIERDA"
NA,1,2,2,2,0,1,"BLANCO",NA,NA
NA,5,1,1,3,0,10,"AMAZONICO",NA,NA
"FUJIMORI",1,5,1,1,0,4,"MESTIZO",8,"DERECHA"
"DESOTO",1,2,1,2,0,10,"MESTIZO",9,"DERECHA"
"ACUNA",1,1,1,3,0,6,"MESTIZO",6,"CENTRO"
"FUJIMORI",1,2,1,1,0,5,"MESTIZO",8,"DERECHA"
"DESOTO",4,1,2,2,0,8,"MESTIZO",9,"DERECHA"
NA,1,2,2,2,0,2,NA,NA,NA
"FUJIMORI",2,2,2,4,0,10,"MESTIZO",8,"DERECHA"
"GUZMAN",4,2,1,2,0,5,"MESTIZO",5,"CENTRO"
"FUJIMORI",1,2,2,3,0,5,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,1,1,3,0,1,"AMAZONICO",8,"DERECHA"
"URRESTI",2,1,2,3,0,8,"QUECHUA",6,"CENTRO"
NA,1,4,2,3,0,7,"NEGRO",NA,NA
NA,2,4,1,4,0,5,"AMAZONICO",NA,NA
"LOPEZALIAGA",3,5,2,3,0,10,"BLANCO",9,"DERECHA"
"FUJIMORI",2,2,4,4,0,8,"MESTIZO",8,"DERECHA"
NA,1,1,2,3,0,5,"MESTIZO",NA,NA
"LOPEZALIAGA",1,1,2,3,0,10,"MESTIZO",9,"DERECHA"
NA,1,2,1,1,0,4,"QUECHUA",NA,NA
"FUJIMORI",2,2,2,4,0,10,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,1,1,3,0,5,"MESTIZO",8,"DERECHA"
"VERONIKA",1,2,2,1,0,1,"MESTIZO",2,"IZQUIERDA"
"URRESTI",1,2,2,3,0,5,"QUECHUA",6,"CENTRO"
"FUJIMORI",1,2,1,3,0,10,"MESTIZO",8,"DERECHA"
NA,NA,2,2,4,0,NA,"MESTIZO",NA,NA
NA,NA,2,1,4,0,6,"MESTIZO",NA,NA
NA,3,1,1,4,0,4,"MESTIZO",NA,NA
NA,3,2,2,4,0,7,"MESTIZO",NA,NA
NA,3,2,5,4,0,3,"ZAMBOMULATO",NA,NA
"LOPEZALIAGA",4,2,2,2,0,10,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,2,2,3,0,8,"MESTIZO",8,"DERECHA"
NA,2,4,2,4,0,5,"MESTIZO",NA,NA
"DESOTO",3,2,3,2,0,4,"MESTIZO",9,"DERECHA"
"FUJIMORI",4,2,2,3,0,10,"MESTIZO",8,"DERECHA"
"DESOTO",2,2,2,3,0,5,"MESTIZO",9,"DERECHA"
NA,2,2,3,3,0,10,"BLANCO",NA,NA
"FUJIMORI",2,4,2,2,0,10,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,2,2,4,0,1,"MESTIZO",8,"DERECHA"
NA,2,2,2,4,0,10,"MESTIZO",NA,NA
NA,4,4,2,4,0,10,"MESTIZO",NA,NA
NA,2,4,2,3,0,5,"NEGRO",NA,NA
"FUJIMORI",1,2,2,1,0,10,"MESTIZO",8,"DERECHA"
"CASTILLO",2,1,1,3,0,1,"NEGRO",1,"IZQUIERDA"
"DESOTO",1,2,2,3,1,10,"MESTIZO",9,"DERECHA"
"DESOTO",2,1,3,2,0,5,"BLANCO",9,"DERECHA"
NA,2,2,2,3,0,5,"BLANCO",NA,NA
NA,1,1,2,3,0,5,"MESTIZO",NA,NA
"CASTILLO",2,2,2,2,0,5,"MESTIZO",1,"IZQUIERDA"
NA,2,1,1,2,0,6,"MESTIZO",NA,NA
"FUJIMORI",1,2,3,3,0,8,"MESTIZO",8,"DERECHA"
"CASTILLO",1,2,1,3,0,4,"AYMARA",1,"IZQUIERDA"
"FUJIMORI",2,1,2,3,0,8,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,2,2,3,0,8,"NEGRO",8,"DERECHA"
"CASTILLO",2,3,2,3,0,5,"MESTIZO",1,"IZQUIERDA"
"DESOTO",2,1,2,2,0,7,"ZAMBOMULATO",9,"DERECHA"
"FUJIMORI",2,2,2,4,0,5,"MESTIZO",8,"DERECHA"
"BEINGOLEA",1,2,2,2,0,10,"MESTIZO",8,"DERECHA"
NA,1,2,2,3,0,2,"MESTIZO",NA,NA
"FUJIMORI",1,2,2,4,0,5,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,2,4,3,0,NA,"QUECHUA",8,"DERECHA"
"FUJIMORI",1,2,2,4,0,10,"MESTIZO",8,"DERECHA"
"CASTILLO",4,2,2,3,0,1,"MESTIZO",1,"IZQUIERDA"
NA,3,3,2,3,0,5,"MESTIZO",NA,NA
"LOPEZALIAGA",2,3,2,2,0,5,"MESTIZO",9,"DERECHA"
NA,2,2,3,2,0,2,"BLANCO",NA,NA
NA,2,2,1,3,0,4,"MESTIZO",NA,NA
"LESCANO",1,2,2,1,0,5,"MESTIZO",5,"CENTRO"
"GUZMAN",3,2,2,3,0,5,"MESTIZO",5,"CENTRO"
NA,5,5,2,1,0,NA,"QUECHUA",NA,NA
"CASTILLO",1,2,2,3,0,8,"BLANCO",1,"IZQUIERDA"
"FUJIMORI",1,4,2,4,0,10,"ZAMBOMULATO",8,"DERECHA"
"FUJIMORI",1,4,4,4,0,10,"MESTIZO",8,"DERECHA"
"FUJIMORI",4,1,2,2,0,10,"MESTIZO",8,"DERECHA"
NA,1,2,2,2,0,5,"MESTIZO",NA,NA
"LOPEZALIAGA",2,2,2,2,0,9,"MESTIZO",9,"DERECHA"
"FORSYTH",1,2,2,1,0,8,"MESTIZO",6,"CENTRO"
"DESOTO",2,2,2,2,0,5,"QUECHUA",9,"DERECHA"
"DESOTO",2,1,3,2,0,5,"MESTIZO",9,"DERECHA"
"FORSYTH",2,1,1,3,1,9,"MESTIZO",6,"CENTRO"
"LOPEZALIAGA",1,1,2,4,0,8,"MESTIZO",9,"DERECHA"
"DESOTO",2,2,2,3,0,7,"MESTIZO",9,"DERECHA"
"ACUNA",2,2,2,4,0,9,"QUECHUA",6,"CENTRO"
"FORSYTH",3,1,1,3,0,6,"MESTIZO",6,"CENTRO"
NA,1,4,2,4,0,NA,"MESTIZO",NA,NA
NA,2,1,1,3,0,5,"ZAMBOMULATO",NA,NA
NA,3,2,3,3,0,NA,"MESTIZO",NA,NA
"FUJIMORI",2,1,1,3,0,10,"MESTIZO",8,"DERECHA"
"ACUNA",2,2,3,2,0,6,"MESTIZO",6,"CENTRO"
"CASTILLO",1,2,2,1,0,5,"QUECHUA",1,"IZQUIERDA"
"LOPEZALIAGA",1,1,4,3,0,5,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,4,2,3,0,10,"MESTIZO",8,"DERECHA"
"FORSYTH",1,4,3,3,0,7,"BLANCO",6,"CENTRO"
NA,2,2,2,2,0,6,"MESTIZO",NA,NA
"DESOTO",2,2,2,2,0,10,"MESTIZO",9,"DERECHA"
"FUJIMORI",3,2,2,4,0,5,"MESTIZO",8,"DERECHA"
"CASTILLO",1,1,1,1,0,4,"MESTIZO",1,"IZQUIERDA"
"CASTILLO",1,2,2,3,0,2,"MESTIZO",1,"IZQUIERDA"
"FUJIMORI",1,2,4,4,0,8,"QUECHUA",8,"DERECHA"
NA,4,1,1,NA,0,5,NA,NA,NA
"DESOTO",1,1,2,3,0,10,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,2,4,2,0,10,"MESTIZO",8,"DERECHA"
"DESOTO",2,2,2,3,0,10,"MESTIZO",9,"DERECHA"
"FUJIMORI",5,4,4,3,0,4,"NEGRO",8,"DERECHA"
"LESCANO",4,2,2,2,0,5,"QUECHUA",5,"CENTRO"
NA,3,2,1,4,0,10,"MESTIZO",NA,NA
"DESOTO",1,2,4,2,0,7,"MESTIZO",9,"DERECHA"
"DESOTO",1,1,1,1,0,5,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,2,2,4,0,8,"BLANCO",8,"DERECHA"
"DESOTO",4,1,2,4,0,3,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,1,4,2,0,10,"QUECHUA",8,"DERECHA"
"CASTILLO",5,3,3,4,0,NA,"MESTIZO",1,"IZQUIERDA"
"DESOTO",1,2,1,1,0,9,"MESTIZO",9,"DERECHA"
"VEGA",1,2,1,3,0,2,"NEGRO",2,"IZQUIERDA"
"DESOTO",3,2,3,2,0,10,"MESTIZO",9,"DERECHA"
NA,2,4,2,4,0,5,"MESTIZO",NA,NA
"VERONIKA",1,2,5,3,0,5,"BLANCO",2,"IZQUIERDA"
"FUJIMORI",1,1,1,4,0,10,"MESTIZO",8,"DERECHA"
"CASTILLO",1,1,1,3,0,8,"MESTIZO",1,"IZQUIERDA"
"LESCANO",1,1,1,4,0,10,"MESTIZO",5,"CENTRO"
"CASTILLO",1,2,1,1,0,1,"MESTIZO",1,"IZQUIERDA"
"VERONIKA",2,2,2,2,0,1,"MESTIZO",2,"IZQUIERDA"
"LOPEZALIAGA",1,4,2,1,0,10,"MESTIZO",9,"DERECHA"
"DESOTO",2,1,2,1,0,8,"MESTIZO",9,"DERECHA"
"FUJIMORI",2,4,2,2,0,10,"MESTIZO",8,"DERECHA"
"FORSYTH",1,2,2,2,0,4,"MESTIZO",6,"CENTRO"
NA,1,2,2,3,0,5,"MESTIZO",NA,NA
"FUJIMORI",1,2,2,3,0,7,"MESTIZO",8,"DERECHA"
"LOPEZALIAGA",NA,2,2,4,0,10,"MESTIZO",9,"DERECHA"
NA,3,3,2,2,0,8,"MESTIZO",NA,NA
NA,2,2,2,3,0,10,"QUECHUA",NA,NA
"FUJIMORI",2,2,2,3,0,8,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,2,2,4,0,7,"MESTIZO",8,"DERECHA"
"CASTILLO",4,1,2,3,0,5,"QUECHUA",1,"IZQUIERDA"
"VERONIKA",2,2,4,2,0,5,"QUECHUA",2,"IZQUIERDA"
"FUJIMORI",1,1,2,4,0,10,"MESTIZO",8,"DERECHA"
"CASTILLO",1,1,1,1,0,4,"MESTIZO",1,"IZQUIERDA"
"DESOTO",1,5,1,1,0,5,"MESTIZO",9,"DERECHA"
"FORSYTH",1,1,1,3,0,5,"MESTIZO",6,"CENTRO"
"VERONIKA",2,4,1,2,0,1,"MESTIZO",2,"IZQUIERDA"
"LESCANO",4,4,2,4,0,1,"QUECHUA",5,"CENTRO"
NA,3,2,2,3,0,5,"MESTIZO",NA,NA
"FUJIMORI",2,2,1,3,0,5,"MESTIZO",8,"DERECHA"
"LOPEZALIAGA",2,2,2,3,0,6,"BLANCO",9,"DERECHA"
NA,2,NA,2,4,0,NA,"QUECHUA",NA,NA
NA,1,1,1,4,0,10,"ZAMBOMULATO",NA,NA
"VERONIKA",4,4,2,4,0,7,"MESTIZO",2,"IZQUIERDA"
NA,4,4,4,3,0,2,"AYMARA",NA,NA
"DESOTO",4,2,2,2,0,10,"MESTIZO",9,"DERECHA"
"SALAVERRY",1,2,2,2,0,5,"MESTIZO",6,"CENTRO"
"URRESTI",2,2,2,3,0,5,"MESTIZO",6,"CENTRO"
"LOPEZALIAGA",1,1,2,3,0,10,"MESTIZO",9,"DERECHA"
"FUJIMORI",5,4,2,4,0,10,"QUECHUA",8,"DERECHA"
"FUJIMORI",4,5,2,3,0,5,"QUECHUA",8,"DERECHA"
"HUMALA",1,2,2,3,0,7,"MESTIZO",2,"IZQUIERDA"
"DESOTO",1,2,1,3,0,4,"QUECHUA",9,"DERECHA"
NA,1,2,2,2,0,9,"MESTIZO",NA,NA
"VERONIKA",1,2,2,4,0,6,"QUECHUA",2,"IZQUIERDA"
"ARANA",1,2,2,2,0,5,"MESTIZO",2,"IZQUIERDA"
"GALVEZ",1,2,2,3,0,5,"MESTIZO",2,"IZQUIERDA"
"FUJIMORI",2,1,3,1,0,7,"NEGRO",8,"DERECHA"
NA,4,2,2,3,0,NA,"QUECHUA",NA,NA
"DESOTO",1,5,1,1,0,10,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,2,3,4,0,7,"MESTIZO",8,"DERECHA"
"SALAVERRY",1,2,4,1,0,5,"MESTIZO",6,"CENTRO"
"FORSYTH",2,2,3,2,0,7,"MESTIZO",6,"CENTRO"
"GUZMAN",5,1,1,3,0,5,"MESTIZO",5,"CENTRO"
"FUJIMORI",1,1,1,2,0,10,"MESTIZO",8,"DERECHA"
NA,4,2,4,3,0,3,"MESTIZO",NA,NA
"FUJIMORI",4,5,2,4,0,6,"MESTIZO",8,"DERECHA"
"CASTILLO",2,2,2,2,0,8,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",2,1,2,2,0,5,"QUECHUA",1,"IZQUIERDA"
NA,3,2,2,2,0,5,"MESTIZO",NA,NA
NA,5,4,5,4,0,10,"MESTIZO",NA,NA
"VERONIKA",2,4,2,3,0,1,"QUECHUA",2,"IZQUIERDA"
"FUJIMORI",3,1,1,3,0,5,"QUECHUA",8,"DERECHA"
"CASTILLO",2,4,4,2,0,5,"MESTIZO",1,"IZQUIERDA"
"DESOTO",1,3,2,2,0,7,"QUECHUA",9,"DERECHA"
NA,2,1,2,3,0,6,"MESTIZO",NA,NA
"FORSYTH",2,2,2,2,0,5,"QUECHUA",6,"CENTRO"
"CASTILLO",2,1,3,4,0,5,"ZAMBOMULATO",1,"IZQUIERDA"
"FUJIMORI",2,2,3,4,0,5,"MESTIZO",8,"DERECHA"
NA,2,4,4,2,0,5,"QUECHUA",NA,NA
"FUJIMORI",3,4,3,2,0,5,"MESTIZO",8,"DERECHA"
NA,1,1,1,3,0,5,"MESTIZO",NA,NA
"VERONIKA",3,1,1,1,0,1,"QUECHUA",2,"IZQUIERDA"
"CASTILLO",2,2,1,4,0,3,"OTRA",1,"IZQUIERDA"
"LOPEZALIAGA",2,1,1,2,0,8,"MESTIZO",9,"DERECHA"
NA,1,1,2,4,0,6,"BLANCO",NA,NA
"ACUNA",2,1,3,3,0,5,"MESTIZO",6,"CENTRO"
"LOPEZALIAGA",2,2,2,3,0,5,"MESTIZO",9,"DERECHA"
"LOPEZALIAGA",1,2,2,4,0,5,NA,9,"DERECHA"
"FUJIMORI",3,2,2,4,0,10,"MESTIZO",8,"DERECHA"
"CASTILLO",2,1,2,3,0,5,"NEGRO",1,"IZQUIERDA"
"LOPEZALIAGA",5,2,1,3,0,5,"BLANCO",9,"DERECHA"
NA,2,2,2,4,0,6,"BLANCO",NA,NA
"DESOTO",1,2,2,3,0,7,"MESTIZO",9,"DERECHA"
"FORSYTH",1,2,2,3,0,8,"MESTIZO",6,"CENTRO"
"LOPEZALIAGA",3,1,2,2,0,5,"MESTIZO",9,"DERECHA"
NA,2,4,2,2,0,10,"MESTIZO",NA,NA
"LOPEZALIAGA",1,4,2,3,1,8,"MESTIZO",9,"DERECHA"
"FUJIMORI",1,4,2,3,0,8,"MESTIZO",8,"DERECHA"
"BEINGOLEA",1,1,1,2,0,10,"MESTIZO",8,"DERECHA"
"CASTILLO",1,2,2,4,0,5,"MESTIZO",1,"IZQUIERDA"
"ACUNA",1,1,1,3,0,7,"MESTIZO",6,"CENTRO"
"CASTILLO",2,2,2,2,0,7,"ZAMBOMULATO",1,"IZQUIERDA"
"FUJIMORI",1,2,2,3,0,5,"MESTIZO",8,"DERECHA"
NA,5,1,1,2,0,10,"MESTIZO",NA,NA
"VERONIKA",1,1,2,4,0,4,NA,2,"IZQUIERDA"
"BEINGOLEA",1,2,2,2,0,7,"MESTIZO",8,"DERECHA"
NA,1,1,2,3,0,6,"MESTIZO",NA,NA
NA,2,2,2,4,0,6,"MESTIZO",NA,NA
"CASTILLO",4,2,2,NA,0,10,"QUECHUA",1,"IZQUIERDA"
NA,2,2,2,4,0,6,"MESTIZO",NA,NA
"ACUNA",4,2,2,4,0,8,"MESTIZO",6,"CENTRO"
"FUJIMORI",1,1,1,2,0,7,"MESTIZO",8,"DERECHA"
"FUJIMORI",5,2,4,3,0,3,"MESTIZO",8,"DERECHA"
NA,1,2,2,4,0,10,"QUECHUA",NA,NA
"VERONIKA",1,2,4,1,0,1,"QUECHUA",2,"IZQUIERDA"
"FUJIMORI",2,2,2,3,0,1,"QUECHUA",8,"DERECHA"
"CASTILLO",2,2,2,1,1,1,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",2,2,2,3,0,2,"QUECHUA",1,"IZQUIERDA"
NA,2,2,2,2,0,NA,"QUECHUA",NA,NA
"FUJIMORI",2,2,2,4,0,10,"AMAZONICO",8,"DERECHA"
NA,2,2,2,2,0,10,"MESTIZO",NA,NA
NA,4,2,2,3,0,10,"QUECHUA",NA,NA
"FUJIMORI",1,4,2,1,0,8,"MESTIZO",8,"DERECHA"
"CASTILLO",2,2,2,4,0,1,"QUECHUA",1,"IZQUIERDA"
NA,1,5,1,3,0,6,"BLANCO",NA,NA
"FUJIMORI",3,2,2,1,0,8,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,2,2,1,0,10,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,1,1,2,0,10,"NEGRO",8,"DERECHA"
"DESOTO",1,1,2,2,0,7,"MESTIZO",9,"DERECHA"
"LOPEZALIAGA",4,2,1,2,0,3,"MESTIZO",9,"DERECHA"
NA,1,2,2,2,0,6,"MESTIZO",NA,NA
